nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
Caveau Bugiste - Symphonie	France	Savoie, Dauphiné et Bugey	Vin du Bugey	blanc	2007	75 cl	2008-05-11	0	5.9	0	1	3	8	0	Souple et harmonieux en bouche, ce vin sera parfait en apéritif ou avec des crudités.	Cette &quot;Cuvée Symphonie&quot;, grâce au savoir faire et à l'expérience des Hommes, met en musique les caractères particuliers de chacun des 3 cépages (Chardonnay, Altesse et Pinot Gris) et la qualité naturelle des différents terroirs.		Non défini
Caveau Bugiste Chardonnay Cuvée Vieilles Vignes	France	Savoie, Dauphiné et Bugey	Vin du Bugey	blanc	2006	75 cl	2008-05-11	6.5	6.5	0	3	1	4	0		Les vignes âgées de plus de 50 ans donnent un Chardonnay plus riche et plus rond, qui peut sans complexe trouver sa place sur les plus grandes tables de France et accompagner les mets les plus raffinés. Très fruité dans sa jeunesse, sa richesse lui permet		Non défini
Caveau Bugiste Chardonnay Exception	France	Savoie, Dauphiné et Bugey	Vin du Bugey	blanc	2005	75 cl	2008-05-11	9.8	9.8	0	3	2	10	0		Ce Chardonnay vendangé tardivement est une expérience très concluante du Caveau Bugiste.. Outre son moelleux et la complexité de ses parfums, Exception présente une belle harmonie entre l'acidité et la douceur des raisins cueillis en surmaturité.		Non défini
Caveau des Beaujolais-Villages - Hospices de Beaujeu	France	Beaujolais	Beaujolais Villages	rouge	2015	75 cl	2015-12-06	0	0	0	1	0	1	0			offert par Eric	Cadeau
Caves de la Loire - Réserve 	France	Vallée de la Loire	Bonnezeaux	blanc liquoreux	1997	75 cl	2009-09-15	14.95	14.95	0	1	1	20	0		FAV Auchan 09-2009		Non défini
Caves de la Muyre - Savagnin	France	Jura	Côtes du Jura	blanc	2000	75 cl	2008-01-10	10	10	0	2	2	5	0	poulet au Comté	Auchan		Non défini
Cédric Flaction - Humagne Blanche	Suisse	Valais	Valais	blanc	2006	75 cl	2008-08-14	14.7	14.7	0	1	2	10	0	Apéritif ou fruits de mer	Globus Genève		Non défini
Cédric Parpette - Montmain	France	Vallée du Rhône	Côte Rotie	rouge	2011	75 cl	2012-11-10	23	23	0	3	7	15	12			Foire aux vins Sevrier	En direct du producteur
Celliers de Bonaventure	France	Vallée du Rhône	Saint Joseph	rouge	2004	75 cl	2007-12-26	6.5	6.5	0	1	3	10	0				Non défini
Celliers Terres de France 	France	Bourgogne	Bourgogne Grand Ordinaire	rouge	-0	75 cl	2008-10-25	2.9	2.9	0	1	1	3	0		pour cuisiner		Non défini
Chanoine Frères - Tsarine Brut	France	Champagne	Champagne	rosé effervescent	-0	75 cl	2016-12-29	0	0	0	1	2	10	2			offert par Maryse Noël 2016	Cadeau
Charles Blondeau-Danne et Harro Nijdam	France	Bourgogne	Chassagne-Montrachet	blanc	2009	75 cl	2011-03-27	16	16	0	3	5	15	8			foire de Cruseilles	Salon de vignerons
Charles Blondeau-Danne et Harro Nijdam, Premier Cru En Remilly	France	Bourgogne	Saint Aubin	rouge	2008	75 cl	2010-04-03	13	13	0	3	4	10	5			foire aux vins de Cruseilles	Salon de vignerons
Charles Blondeau-Danne et Harro Nijdam, Premier Cru En Remilly	France	Bourgogne	Saint Aubin	rouge	2007	75 cl	2010-04-03	9	9	0	6	3	8	5			foire aux vins de Cruseilles	Salon de vignerons
Charles de Cazanove - Brut Cuvée Cazanova	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2008-12-29	0	0	0	1	2	10	0		Offert par Lamy		Non défini
Charles Viénot	France	Bourgogne	Gevrey-Chambertin	rouge	2001	75 cl	2008-09-21	9.47	9.47	0	2	3	10	0		FAV Auchan		Non défini
Chartron et Trébuchet	France	Bourgogne	Corton-Charlemagne	blanc	2013	75 cl	2021-10-31	90	90	0	1	4	8	4		acheté avec Michel pour boire avec un gratin de fruits de mer	Beaune magasin Moillard	Caviste
Château  Camensac	France	Bordeaux	Haut-Médoc	rouge	2006	75 cl	2008-11-29	14	14	0	1	2	12	0				Non défini
Château Andron Blanquet	France	Bordeaux	Saint Estèphe	rouge	2004	75 cl	2008-01-08	11.95	11.95	0	1	4	30	0		Aldi		Non défini
Château Béthanie	France	Jura	Macvin du Jura	mistelle	2002	75 cl	2007-11-10	23	23	0	1	5	30	0				Non défini
Château Béthanie - Grande Sélection	France	Jura	Arbois	vin de paille	2002	37,5 cl	2007-11-10	20.8	20.8	0	3	4	30	0	Les salades, charcuterie et grillades l'adorent, les fromages frais et les desserts aux fruits le séduisent. Un vin léger et facile aux arômes caractéristiques du terroirs jurassien.. 	Une robe aux accents rubis légers et brillants. Des arômes francs et fruités pour un vin friand, équilibré, élégant et enjôleur		Non défini
Château Béthanie - Poulsard	France	Jura	Arbois	rouge	2005	75 cl	2007-11-12	6.25	6.25	0	2	2	5	0		Médaille d'or Jura 2006		Non défini
Château Bouscassé	France	Sud-Ouest	Madiran	rouge	2003	75 cl	2008-03-29	8.5	8.5	0	2	4	12	0		Auchan foire de printemps		Non défini
Château Bouscassé	France	Sud-Ouest	Madiran	rouge	1998	75 cl	2009-03-26	0	29	0	1	4	15	0	peut encore attendre (2012 max ?) mais déjà parfait pour boire maintenant	Caviste Genève 4 avenue Frontenex (à coté de la place des eaux vives)		Non défini
Château Bouscassé	France	Sud-Ouest	Madiran	rouge	1997	75 cl	2009-09-15	9.95	9.95	0	2	4	20	0		FAV Auchan 09-2009		Non défini
Château Bouscassé - Vieilles Vignes	France	Sud-Ouest	Madiran	rouge	2006	75 cl	2013-08-25	26.85	26.85	0	2	4	12	4			Chateau Montus - Par Franck et Cécile	En direct du producteur
Château Bouscassé - Vieilles Vignes	France	Sud-Ouest	Madiran	rouge	2009	75 cl	2013-08-25	26.85	26.85	0	1	4	12	4			Chateau Montus - Par Franck et Cécile	En direct du producteur
Château Bouscassé, Argile Rouge	France	Sud-Ouest	Madiran	rouge	2006	75 cl	2013-08-25	13.15	13.15	0	3	4	12	4			Chateau Montus - Par Franck et Cécile	En direct du producteur
Château Bouscassé, Argile Rouge	France	Sud-Ouest	Madiran	rouge	2011	75 cl	2019-08-02	14.9	14.9	0	3	4	12	9			la vignerie Epagny	Caviste
Château Caillivet	France	Bordeaux	Graves	rouge	2007	75 cl	2010-04-03	6	6	0	6	3	10	5			foire aux vins de Cruseilles	Salon de vignerons
Château Caillivet Fûts de chêne neufs	France	Bordeaux	Graves	rouge	2007	75 cl	2010-04-03	12.5	12.5	0	3	5	15	8			foire aux vins de Cruseilles	Salon de vignerons
Château Calon-Ségur	France	Bordeaux	Saint Estèphe	rouge	2017	75 cl	2019-03-04	76	76	6	6	4	30	4		primeurs COOP via P.Tatzber	primeurs COOP via P.Tatzber	Grande surface
Château Canon-La-Gaffelière	France	Bordeaux	Saint Emilion Grand Cru	rouge	2014	75 cl	2015-11-23	48.15	48.15	3	6	4	25	4		avec Pierre Tatzber	Primeurs de la Coop	Grande surface
Château Carbonnieux	France	Bordeaux	Pessac-Léognan	blanc	2006	75 cl	2009-06-27	23.5	23.5	0	2	2	12	0		Carrefour		Non défini
Château Citran	France	Bordeaux	Haut-Médoc	rouge	2005	75 cl	2007-09-13	11.8	11.8	0	2	5	20	0				Non défini
